#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 25.000000 -2.667883 2.599150 9.559960
 25.020000 -2.608576 2.817392 10.807672
 25.040000 -2.811353 2.836441 9.051438
 25.060000 -2.703144 2.828531 10.047773
 25.080000 -2.851268 2.957895 8.654703
 25.100000 -2.911424 3.047456 8.033793
 25.120000 -2.970894 3.095811 7.400226
 25.140000 -2.958524 -3.104598 7.533177
 25.160000 -2.977772 3.136011 7.326104
 25.180000 -2.758597 -3.089908 9.552791
 25.200000 -2.856506 -3.113162 8.601647
 25.220000 -2.705827 -3.121119 10.024639
 25.240000 -2.581049 3.119345 11.008193
 25.260000 -2.632212 3.050894 10.627984
 25.280000 -2.537750 2.974551 11.304915
 25.300000 -2.718084 2.929463 9.917869
 25.320000 -2.726786 3.005237 9.841007
 25.340000 -2.771697 2.745979 9.430925
 25.360000 -2.610979 2.699030 10.789722
 25.380000 -2.771859 2.571492 9.429410
 25.400000 -2.470276 2.586549 11.723741
 25.420000 -2.555660 2.371214 11.184904
 25.440000 -2.485225 2.312703 11.635357
 25.460000 -2.531490 2.118905 11.345962
 25.480000 -2.617646 2.210487 10.739537
 25.500000 -2.619033 2.136115 10.729025
 25.520000 -2.443082 2.141992 11.878457
 25.540000 -2.577764 2.258948 11.031500
 25.560000 -2.631257 2.212362 10.635376
 25.580000 -2.489671 2.165647 11.608600
 25.600000 -2.596849 2.167827 10.894246
 25.620000 -2.239791 2.406552 12.835210
 25.640000 -2.282439 2.365940 12.658040
 25.660000 -2.295636 2.480913 12.601173
 25.680000 -2.324688 2.581661 12.472113
 25.700000 -2.201761 2.765824 12.985764
 25.720000 -2.413652 2.867034 12.037558
 25.740000 -2.271670 2.931860 12.703692
 25.760000 -2.474075 2.980010 11.701505
 25.780000 -2.474800 3.102586 11.697247
 25.800000 -2.483439 3.012174 11.646048
 25.820000 -2.597682 3.028169 10.888154
 25.840000 -2.676901 3.127486 10.269522
 25.860000 -2.700507 3.095700 10.070426
 25.880000 -2.895203 2.972552 8.203553
 25.900000 -2.944529 3.068481 7.682945
 25.920000 -3.025517 3.128624 6.808995
 25.940000 -2.992606 -3.087094 7.165845
 25.960000 -2.945597 2.994264 7.671544
 25.980000 -2.911094 2.863249 8.037265
 26.000000 -2.780091 3.024076 9.351909
 26.020000 -2.717370 2.918334 10.710161
 26.040000 -2.615844 2.753907 11.509802
 26.060000 -2.618775 2.720026 11.488829
 26.080000 -2.640599 2.745745 11.328675
 26.100000 -2.606280 2.587129 11.577377
 26.120000 -2.476819 2.613974 12.364932
 26.140000 -2.491302 2.472214 12.288007
 26.160000 -2.346600 2.500945 12.950846
 26.180000 -2.462535 2.361100 12.438251
 26.200000 -2.331597 2.286711 13.007956
 26.220000 -2.155112 2.272462 13.577407
 26.240000 -2.045318 2.331063 13.875884
 26.260000 -2.129683 2.318095 13.649088
 26.280000 -2.129140 2.302905 13.650598
 26.300000 -2.092654 2.404743 13.750544
 26.320000 -2.058850 2.406241 13.840505
 26.340000 -1.950061 2.450747 14.112703
 26.360000 -2.095999 2.488436 13.741513
 26.380000 -2.013459 2.503886 13.957656
 26.400000 -1.837095 2.434425 14.350169
 26.420000 -1.751416 2.504571 14.472045
 26.440000 -1.985648 2.439944 14.027046
 26.460000 -1.920808 2.657408 14.180025
 26.480000 -2.125271 2.624188 13.661349
 26.500000 -1.970438 2.604178 14.064115
 26.520000 -2.195362 2.638338 13.460090
 26.540000 -2.407495 2.793653 12.698739
 26.560000 -2.549584 2.749953 11.950673
 26.580000 -2.446896 2.786120 12.515731
 26.600000 -2.611720 2.670726 11.539106
 26.620000 -2.552504 2.660723 11.932564
 26.640000 -2.645702 2.797233 11.290218
 26.660000 -2.818313 2.744366 9.772515
 26.680000 -2.643138 2.789884 11.309592
 26.700000 -2.883536 2.759869 9.101932
 26.720000 -2.910162 2.919828 8.816383
 26.740000 -2.981477 2.955373 8.025971
 26.760000 -3.068207 2.966531 7.034725
 26.780000 -3.022607 2.877101 7.558446
 26.800000 -2.845247 3.032219 9.501030
 26.820000 -2.940042 2.968881 8.489201
 26.840000 -2.677750 2.940456 11.040047
 26.860000 -2.533332 2.945732 12.049335
 26.880000 -2.557265 2.968613 11.902778
 26.900000 -2.487297 2.970001 12.309543
 26.920000 -2.586897 2.893926 11.710200
 26.940000 -2.723544 2.889559 10.656727
 26.960000 -2.564016 2.876552 11.860002
 26.980000 -2.614507 2.712174 11.519332
 27.000000 -2.642708 2.651021 11.312829
 27.020000 -2.455088 2.636529 13.159497
 27.040000 -2.327803 2.599750 13.637492
 27.060000 -2.324233 2.484818 13.648419
 27.080000 -2.161179 2.483949 14.054216
 27.100000 -2.273570 2.512257 13.792175
 27.120000 -2.266936 2.562561 13.809583
 27.140000 -2.186227 2.499724 14.000926
 27.160000 -2.419388 2.457921 13.312879
 27.180000 -2.428588 2.571587 13.274938
 27.200000 -2.509914 2.445693 12.889346
 27.220000 -2.545189 2.459815 12.691377
 27.240000 -2.619171 2.312307 12.210297
 27.260000 -2.465989 2.334145 13.109248
 27.280000 -2.679032 2.356241 11.753125
 27.300000 -2.647300 2.465724 12.003049
 27.320000 -2.715216 2.427901 11.447388
 27.340000 -2.812928 2.533363 10.516873
 27.360000 -2.813516 2.672575 10.510851
 27.380000 -2.830563 2.772661 10.333949
 27.400000 -2.824133 2.938418 10.401146
 27.420000 -2.750258 2.932102 11.130641
 27.440000 -2.601875 3.065833 12.331027
 27.460000 -2.609759 -3.082413 12.276629
 27.480000 -2.479996 -3.011857 13.042217
 27.500000 -2.416300 -2.966738 13.325372
 27.520000 -2.310686 -2.931878 13.688876
 27.540000 -2.497190 -2.979791 12.956013
 27.560000 -2.557620 -2.972722 12.616892
 27.580000 -2.774938 -3.008884 10.895934
 27.600000 -2.798827 3.108995 10.660014
 27.620000 -2.943975 3.004366 9.069640
 27.640000 -3.002958 2.970669 8.367543
 27.660000 -3.010240 2.780845 8.279529
 27.680000 -2.883628 2.805389 9.759620
 27.700000 -2.903939 2.658790 9.531317
 27.720000 -2.727293 2.670418 11.340467
 27.740000 -2.717551 2.688685 11.426899
 27.760000 -2.654514 2.653377 11.947731
 27.780000 -2.468104 2.543957 13.099308
 27.800000 -2.537222 2.641932 12.737809
 27.820000 -2.502296 2.638809 12.929561
 27.840000 -2.494287 2.596993 12.970877
 27.860000 -2.433737 2.589555 13.253233
 27.880000 -2.400568 2.399486 13.387222
 27.900000 -2.182014 2.513413 14.010052
 27.920000 -2.417044 2.486785 13.322375
 27.940000 -2.292798 2.458865 13.739971
 27.960000 -2.240610 2.464105 13.875897
 27.980000 -2.318700 2.457302 13.665134
 28.000000 -2.314504 2.477564 13.677633
 28.020000 -2.485000 2.524800 13.639466
 28.040000 -2.507911 2.537637 13.513381
 28.060000 -2.413252 2.561701 13.979647
 28.080000 -2.346552 2.624277 14.229551
 28.100000 -2.543639 2.664403 13.298744
 28.120000 -2.438603 2.712562 13.868489
 28.140000 -2.350642 2.794260 14.215868
 28.160000 -2.472758 2.749627 13.703242
 28.180000 -2.455918 2.815974 13.787005
 28.200000 -2.762675 2.765774 11.481884
 28.220000 -2.852740 2.847994 10.502304
 28.240000 -2.905756 2.799428 9.876814
 28.260000 -2.948194 2.772424 9.356184
 28.280000 -3.061772 2.737341 7.910449
 28.300000 -2.887268 2.821037 10.098413
 28.320000 -2.978131 2.777373 8.980769
 28.340000 -2.774432 2.789851 11.360815
 28.360000 -2.707135 2.878690 12.023296
 28.380000 -2.788276 2.918880 11.215496
 28.400000 -2.682690 3.038405 12.244725
 28.420000 -2.708134 2.891008 12.014021
 28.440000 -2.644043 2.956249 12.573012
 28.460000 -2.632592 3.004699 12.665097
 28.480000 -2.583494 2.974578 13.032685
 28.500000 -2.646709 2.836712 12.551231
 28.520000 -2.308496 2.796540 14.347720
 28.540000 -2.476998 2.739995 13.681430
 28.560000 -2.425644 2.803749 13.926496
 28.580000 -2.494077 2.776265 13.590579
 28.600000 -2.519269 2.642699 13.447550
 28.620000 -2.560401 2.676550 13.190319
 28.640000 -2.655297 2.602821 12.480194
 28.660000 -2.780365 2.562082 11.298893
 28.680000 -2.757809 2.582578 11.531364
 28.700000 -2.670623 2.495776 12.350114
 28.720000 -2.705945 2.452304 12.034319
 28.740000 -2.594880 2.441326 12.951397
 28.760000 -2.615080 2.506278 12.801299
 28.780000 -2.534662 2.605604 13.354765
 28.800000 -2.550072 2.648028 13.257723
 28.820000 -2.575940 2.593439 13.085313
 28.840000 -2.722812 2.706495 11.875758
 28.860000 -2.677063 2.872992 12.294191
 28.880000 -2.823291 2.713254 10.835250
 28.900000 -2.714626 2.776200 11.953327
 28.920000 -2.786214 2.853319 11.237326
 28.940000 -2.818923 2.972535 10.883655
 28.960000 -2.693145 2.932020 12.151320
 28.980000 -2.705557 2.977856 12.037911
 29.000000 -2.673206 3.094960 12.327771
 29.020000 -2.703008 -3.065299 12.753341
 29.040000 -2.860655 3.127062 11.064772
 29.060000 -2.904765 3.118142 10.522943
 29.080000 -2.816603 -3.069679 11.579028
 29.100000 -2.996252 3.033652 9.334184
 29.120000 -2.806372 2.984614 11.694118
 29.140000 -2.781971 2.949886 11.961550
 29.160000 -2.745159 2.891081 12.345208
 29.180000 -2.586723 2.823911 13.694289
 29.200000 -2.663811 2.844044 13.101276
 29.220000 -2.729881 2.835312 12.497098
 29.240000 -2.607929 2.781525 13.543366
 29.260000 -2.739846 2.614692 12.398530
 29.280000 -2.714767 2.583729 12.642960
 29.300000 -2.672590 2.662179 13.026039
 29.320000 -2.797644 2.551861 11.790940
 29.340000 -2.621923 2.412146 13.438667
 29.360000 -2.566689 2.404539 13.828402
 29.380000 -2.642808 2.477190 13.274928
 29.400000 -2.446311 2.580743 14.469190
 29.420000 -2.458574 2.536011 14.416218
 29.440000 -2.458338 2.622486 14.417264
 29.460000 -2.360155 2.645000 14.772559
 29.480000 -2.511064 2.623753 14.158792
 29.500000 -2.564394 2.562837 13.843250
 29.520000 -2.374380 2.621336 14.730222
 29.540000 -2.433008 2.682271 14.523741
 29.560000 -2.514205 2.623582 14.141746
 29.580000 -2.500780 2.642144 14.213280
 29.600000 -2.691363 2.663718 12.859930
 29.620000 -2.558808 2.861515 13.878934
 29.640000 -2.619137 2.776512 13.459834
 29.660000 -2.796070 2.840598 11.808269
 29.680000 -2.868142 2.906340 10.974577
 29.700000 -2.875352 2.920999 10.887001
 29.720000 -3.013428 2.806244 9.104210
 29.740000 -2.846616 2.908300 11.231796
 29.760000 -2.916157 2.974759 10.379188
 29.780000 -2.907288 2.991308 10.491222
 29.800000 -2.769738 2.946936 12.091750
 29.820000 -2.808442 2.949787 11.670970
 29.840000 -2.748847 -3.109593 12.307877
 29.860000 -2.721296 3.107745 12.580493
 29.880000 -2.840725 2.865626 11.301028
 29.900000 -2.716917 2.941189 12.622487
 29.920000 -2.690348 2.926694 12.869094
 29.940000 -2.731385 2.810581 12.482345
 29.960000 -2.587237 2.726940 13.690745
 29.980000 -2.652484 2.631834 13.196044
 30.000000 -2.532586 2.670460 14.038165
 30.020000 -2.521909 2.608425 14.741101
 30.040000 -2.563618 2.584177 14.489315
 30.060000 -2.486670 2.774223 14.924646
 30.080000 -2.467756 2.725896 15.012477
 30.100000 -2.531754 2.375026 14.685089
 30.120000 -2.408600 2.558189 15.242219
 30.140000 -2.521277 2.498604 14.744624
 30.160000 -2.430538 2.530650 15.164679
 30.180000 -2.363998 2.384828 15.374029
 30.200000 -2.592688 2.424221 14.291053
 30.220000 -2.530659 2.416969 14.691420
 30.240000 -2.487625 2.457700 14.920016
 30.260000 -2.636165 2.497979 13.958784
 30.280000 -2.572430 2.582950 14.431217
 30.300000 -2.682135 2.672119 13.561264
 30.320000 -2.779732 2.573117 12.566009
 30.340000 -2.653466 2.639816 13.814699
 30.360000 -2.656941 2.752630 13.784952
 30.380000 -2.707402 2.761426 13.322884
 30.400000 -2.535495 2.828805 14.663250
 30.420000 -2.661450 3.013993 13.745950
 30.440000 -2.710652 3.097657 13.291213
 30.460000 -2.524302 -3.095518 14.727680
 30.480000 -2.743796 -3.094028 12.955392
 30.500000 -2.733860 -3.050133 13.058479
 30.520000 -2.756642 -3.048523 12.819133
 30.540000 -2.961006 -3.097058 10.274571
 30.560000 -2.943834 3.082147 10.509781
 30.580000 -2.854026 3.109418 11.685279
 30.600000 -3.097288 2.868746 8.345723
 30.620000 -2.798433 2.930973 12.353547
 30.640000 -2.957073 2.859289 10.328682
 30.660000 -2.921118 2.918416 10.816454
 30.680000 -2.667835 2.917892 13.689951
 30.700000 -2.813656 2.838574 12.175849
 30.720000 -2.682496 2.866404 13.557956
 30.740000 -2.498113 2.759139 14.867921
 30.760000 -2.498830 2.606365 14.864275
 30.780000 -2.394924 2.552521 15.286217
 30.800000 -2.322583 2.557797 15.468311
 30.820000 -2.539734 2.478461 14.638142
 30.840000 -2.233786 2.476191 15.595509
 30.860000 -2.249785 2.398942 15.579064
 30.880000 -2.346262 2.423895 15.417510
 30.900000 -2.324138 2.446685 15.465218
 30.920000 -2.362252 2.374554 15.378525
 30.940000 -2.390895 2.467717 15.298562
 30.960000 -2.214855 2.446404 15.611841
 30.980000 -2.415344 2.357505 15.219310
 31.000000 -2.421306 2.393004 15.198376
 31.020000 -2.274808 2.466681 16.136537
 31.040000 -2.257379 2.627082 16.153619
 31.060000 -2.281053 2.648657 16.129455
 31.080000 -2.263714 2.752055 16.147857
 31.100000 -2.520774 2.735978 15.347286
 31.120000 -2.460096 2.842040 15.654238
 31.140000 -2.505936 2.795245 15.430137
 31.160000 -2.756840 2.830166 13.323218
 31.180000 -2.760570 2.952342 13.280922
 31.200000 -2.875508 2.839740 11.847346
 31.220000 -2.976070 2.743108 10.432772
 31.240000 -2.935579 2.795985 11.015685
 31.260000 -3.017824 3.010748 9.818850
 31.280000 -3.081260 3.017877 8.872216
 31.300000 -2.917745 2.957656 11.267251
 31.320000 -2.997474 2.800175 10.119345
 31.340000 -2.721037 3.052770 13.714097
 31.360000 -2.675724 3.084643 14.167397
 31.380000 -2.558769 2.915421 15.111545
 31.400000 -2.397377 2.907749 15.887744
 31.420000 -2.451698 2.913268 15.690246
 31.440000 -2.415835 2.938976 15.827332
 31.460000 -2.293801 2.882105 16.113344
 31.480000 -2.296827 2.784037 16.109184
 31.500000 -2.226365 2.732501 16.174930
 31.520000 -2.308115 2.649439 16.092497
 31.540000 -2.415396 2.486432 15.828847
 31.560000 -2.263796 2.615796 16.147779
 31.580000 -2.349301 2.494054 16.014948
 31.600000 -2.369343 2.333690 15.967008
 31.620000 -2.560736 2.211640 15.098407
 31.640000 -2.645087 2.252830 14.446635
 31.660000 -2.610196 2.274714 14.737250
 31.680000 -2.519109 2.271664 15.356840
 31.700000 -2.662614 2.312415 14.289615
 31.720000 -2.652611 2.272302 14.380120
 31.740000 -2.674567 2.277539 14.178347
 31.760000 -2.654073 2.248384 14.367040
 31.780000 -2.604085 2.346030 14.785103
 31.800000 -2.661177 2.529013 14.302761
 31.820000 -2.752025 2.601380 13.377395
 31.840000 -2.714983 2.574258 13.777392
 31.860000 -2.756376 2.665269 13.328467
 31.880000 -2.816300 2.778801 12.615710
 31.900000 -2.639223 2.905035 14.497528
 31.920000 -2.726805 2.942095 13.653014
 31.940000 -2.550436 2.980573 15.166179
 31.960000 -2.558796 2.964200 15.111370
 31.980000 -2.664015 3.069494 14.276749
 32.000000 -2.646960 -3.117303 14.430199
 32.020000 -2.580837 -3.110460 15.585243
 32.040000 -2.758359 3.118641 13.924201
 32.060000 -2.696943 -3.104912 14.589433
 32.080000 -2.897796 -3.090169 12.112821
 32.100000 -3.001778 3.113512 10.568414
 32.120000 -2.831250 2.961020 13.023788
 32.140000 -2.982846 2.827831 10.857524
 32.160000 -2.929508 2.801926 11.654705
 32.180000 -2.865067 2.681777 12.570193
 32.200000 -2.804797 2.562877 13.363477
 32.220000 -2.755987 2.564321 13.951554
 32.240000 -2.710849 2.569000 14.446879
 32.260000 -2.921868 2.544403 11.766291
 32.280000 -2.709373 2.599358 14.462240
 32.300000 -2.712325 2.473627 14.431471
 32.320000 -2.518518 2.499063 15.974223
 32.340000 -2.456470 2.434825 16.264218
 32.360000 -2.291981 2.514524 16.628127
 32.380000 -2.151931 2.568272 16.607185
 32.400000 -1.853862 2.607289 16.147533
 32.420000 -1.871493 2.592169 16.182807
 32.440000 -1.923429 2.696538 16.280878
 32.460000 -1.804684 2.735249 16.042859
 32.480000 -1.847225 2.737198 16.133972
 32.500000 -1.624796 2.681929 15.524850
 32.520000 -1.705258 2.841014 15.790222
 32.540000 -1.717692 2.769429 15.825668
 32.560000 -1.488838 2.738961 14.886419
 32.580000 -1.276890 2.607395 13.240836
 32.600000 -1.392978 2.649847 14.249384
 32.620000 -1.279819 2.643786 13.269516
 32.640000 -1.253397 2.495576 13.004975
 32.660000 -1.156989 2.507833 11.934115
 32.680000 -0.984597 2.448581 9.698482
 32.700000 -1.146821 2.483682 11.812261
 32.720000 -1.127357 2.368729 11.574811
 32.740000 -1.074966 2.390062 10.910640
 32.760000 -1.025903 2.242806 10.260900
 32.780000 -0.969397 2.319561 9.488892
 32.800000 -1.021679 2.090947 10.203944
 32.820000 -1.159597 2.102367 11.965110
 32.840000 -1.131066 1.965013 11.620474
 32.860000 -1.020052 1.855439 10.181974
 32.880000 -1.165008 1.758092 12.029101
 32.900000 -1.141315 1.602843 11.745646
 32.920000 -1.416066 1.453690 14.418602
 32.940000 -1.387713 1.375148 14.209340
 32.960000 -1.323772 1.334795 13.679853
 32.980000 -1.296542 1.095049 13.430078
 33.000000 -1.426916 1.079702 14.494577
 33.020000 -1.314503 0.876731 14.212635
 33.040000 -1.247582 0.837769 13.541613
 33.060000 -1.114782 0.624538 11.954192
 33.080000 -1.097836 0.537056 11.730845
 33.100000 -1.201602 0.364983 13.027992
 33.120000 -1.159743 0.337127 12.525999
 33.140000 -1.131942 0.122201 12.176120
 33.160000 -1.355583 0.193980 14.577157
 33.180000 -1.239756 -0.164342 13.457113
 33.200000 -1.424263 0.034509 15.105375
 33.220000 -1.294183 -0.276457 14.018877
 33.240000 -1.239935 -0.143581 13.459054
 33.260000 -1.261551 -0.333451 13.689382
 33.280000 -1.355665 -0.302952 14.577849
 33.300000 -1.169318 -0.492248 12.643558
 33.320000 -1.239265 -0.479320 13.451769
 33.340000 -1.078177 -0.717112 11.466914
 33.360000 -1.081763 -0.590279 11.515425
 33.380000 -1.056138 -0.731931 11.165361
 33.400000 -0.982848 -0.662154 10.128589
 33.420000 -0.943306 -0.566083 9.554302
 33.440000 -0.925292 -0.614830 9.290798
 33.460000 -0.729916 -0.497882 6.474134
 33.480000 -0.693247 -0.569242 5.973398
 33.500000 -0.941874 -0.359820 9.533384
 33.520000 -0.895358 -0.321169 8.851807
 33.540000 -1.164782 -0.027499 12.588061
 33.560000 -1.102903 -0.024780 11.798052
 33.580000 -1.182783 0.296247 12.806182
 33.600000 -1.329391 0.224602 14.348940
 33.620000 -1.492622 0.605135 15.532842
 33.640000 -1.263432 0.548725 13.708975
 33.660000 -1.440689 0.858151 15.216782
 33.680000 -1.422244 1.008538 15.091294
 33.700000 -1.311391 1.110362 14.183536
 33.720000 -1.250915 1.368198 13.577223
 33.740000 -1.094223 1.469034 11.682725
 33.760000 -1.050637 1.568313 11.089236
 33.780000 -1.186784 1.700058 12.853879
 33.800000 -1.155814 1.810418 12.477311
 33.820000 -1.017749 1.923129 10.627916
 33.840000 -1.094654 2.020501 11.688469
 33.860000 -1.061932 2.054257 11.245172
 33.880000 -1.222764 2.120464 13.269477
 33.900000 -1.225456 2.113059 13.299577
 33.920000 -1.168118 2.253316 12.628906
 33.940000 -1.137086 2.239939 12.241782
 33.960000 -1.293202 2.289250 14.009297
 33.980000 -1.424570 2.435976 15.107506
 34.000000 -1.432779 2.495333 15.163835
 34.020000 -1.513554 2.503465 16.249433
 34.040000 -1.288889 2.592711 14.557094
 34.060000 -1.593264 2.723823 16.586926
 34.080000 -1.490247 2.869064 16.126919
 34.100000 -1.449397 2.779995 15.883980
 34.120000 -1.432425 2.808046 15.772128
 34.140000 -1.414695 2.927348 15.648230
 34.160000 -1.553728 3.015705 16.434540
 34.180000 -1.448897 2.843704 15.880777
 34.200000 -1.351323 2.883426 15.145074
 34.220000 -1.376181 2.903574 15.353710
 34.240000 -1.557347 2.852307 16.449675
 34.260000 -1.509244 2.737197 16.227634
 34.280000 -1.673252 2.723718 16.816779
 34.300000 -1.670336 2.679213 16.810023
 34.320000 -1.834010 2.481218 17.052917
 34.340000 -1.950877 2.422339 17.121139
 34.360000 -2.013820 2.282611 17.139291
 34.380000 -1.979079 2.373575 17.130678
 34.400000 -1.990230 2.112933 17.133830
 34.420000 -2.068921 2.124654 17.145272
 34.440000 -2.115923 2.049676 17.141412
 34.460000 -2.140803 2.052881 17.134924
 34.480000 -2.062614 1.925611 17.145095
 34.500000 -2.074399 2.116663 17.145307
 34.520000 -2.107911 2.146729 17.142792
 34.540000 -2.090994 2.167431 17.144680
 34.560000 -2.095734 2.216410 17.144285
 34.580000 -2.027901 2.209597 17.141744
 34.600000 -1.990550 2.357988 17.133916
 34.620000 -1.938548 2.313015 17.116280
 34.640000 -1.891558 2.499408 17.093286
 34.660000 -1.883847 2.496794 17.088734
 34.680000 -1.844913 2.583648 17.061774
 34.700000 -1.919782 2.522191 17.108007
 34.720000 -2.049871 2.728466 17.144320
 34.740000 -2.125888 2.750258 17.139228
 34.760000 -2.083713 2.782400 17.145096
 34.780000 -2.262807 2.732482 17.036921
 34.800000 -2.332829 2.870222 16.907370
 34.820000 -2.556343 2.844866 15.902291
 34.840000 -2.580542 2.875101 15.726267
 34.860000 -2.620073 2.946789 15.407437
 34.880000 -2.663323 2.947647 15.014070
 34.900000 -2.800772 2.975037 13.469393
 34.920000 -2.870597 2.934067 12.534230
 34.940000 -2.865077 2.996083 12.611233
 34.960000 -2.933323 2.963509 11.628256
 34.980000 -2.975431 2.923714 10.993896
 35.000000 -3.044811 2.924944 9.919938
 35.020000 -3.123564 2.906005 9.447949
 35.040000 -3.067536 2.796714 10.334246
 35.060000 -3.007711 2.767945 11.267174
 35.080000 -3.019536 2.751502 11.084681
 35.100000 -2.906538 2.702509 12.769023
 35.120000 -2.960667 2.608899 11.980654
 35.140000 -2.795407 2.594968 14.233470
 35.160000 -2.665941 2.591369 15.597244
 35.180000 -2.539757 2.740422 16.520718
 35.200000 -2.491137 2.622816 16.771259
 35.220000 -2.121703 2.661170 17.328831
 35.240000 -2.101242 2.674752 17.320778
 35.260000 -1.773922 2.825136 17.044386
 35.280000 -1.666327 2.789489 16.833911
 35.300000 -1.592862 2.804331 16.609172
 35.320000 -1.283881 2.753746 14.510565
 35.340000 -1.215791 2.641137 13.758882
 35.360000 -0.926611 2.582114 9.709977
 35.380000 -0.899363 2.575337 9.292135
 35.400000 -0.785779 2.530640 7.563633
 35.420000 -0.823179 2.435496 8.127045
 35.440000 -0.731326 2.259541 6.764447
 35.460000 -1.001541 2.260395 10.846195
 35.480000 -1.044387 2.277549 11.478293
 35.500000 -1.064147 2.070121 11.763428
 35.520000 -1.193563 2.059366 13.492295
 35.540000 -1.145474 1.798906 12.882145
 35.560000 -1.305716 1.648897 14.729757
 35.580000 -1.299584 1.541444 14.669316
 35.600000 -1.293027 1.427068 14.603718
 35.620000 -1.126374 1.194670 12.628260
 35.640000 -1.355750 1.241913 15.190203
 35.660000 -1.374477 0.921663 15.347534
 35.680000 -1.462804 1.033742 15.980080
 35.700000 -1.362259 0.785876 15.245809
 35.720000 -1.298652 0.697167 14.660047
 35.740000 -1.336006 0.711570 15.015471
 35.760000 -1.198358 0.402765 13.550647
 35.780000 -1.171932 0.457692 13.223312
 35.800000 -1.022646 0.223209 11.159703
 35.820000 -1.216737 0.202829 13.770006
 35.840000 -1.296756 0.120807 14.641143
 35.860000 -1.358022 0.164339 15.209721
 35.880000 -1.145079 -0.068110 12.876951
 35.900000 -1.401221 0.104962 15.558044
 35.920000 -1.269856 -0.135027 14.364046
 35.940000 -1.304202 -0.002303 14.714907
 35.960000 -1.117792 -0.170319 12.512266
 35.980000 -1.092591 -0.101529 12.165345
 36.000000 -0.978273 -0.182490 10.496579
 36.020000 -0.912668 -0.196584 10.242761
 36.040000 -0.594767 -0.297045 5.509629
 36.060000 -0.562203 -0.312022 5.089397
 36.080000 -0.699969 -0.376769 6.976890
 36.100000 -0.679285 -0.307436 6.674764
 36.120000 -0.738150 -0.317422 7.546905
 36.140000 -0.763707 -0.336243 7.933403
 36.160000 -0.863777 -0.158055 9.482248
 36.180000 -1.011276 -0.236525 11.741742
 36.200000 -1.093625 -0.034728 12.915221
 36.220000 -1.173544 -0.054243 13.949576
 36.240000 -1.430404 0.029340 16.305015
 36.260000 -1.492829 0.008879 16.640803
 36.280000 -1.685059 0.175358 17.208576
 36.300000 -1.732243 0.114406 17.269971
 36.320000 -1.869709 0.325105 17.360604
 36.340000 -1.867856 0.206351 17.359901
 36.360000 -2.089830 0.495627 17.413153
 36.380000 -2.010815 0.425046 17.399518
 36.400000 -2.305762 0.539798 17.319065
 36.420000 -2.365147 0.591442 17.213752
 36.440000 -2.310163 0.713522 17.312938
 36.460000 -2.425539 0.835196 17.048346
 36.480000 -2.437440 0.981755 17.007770
 36.500000 -2.439066 0.923207 17.002009
 36.520000 -2.588733 1.165715 16.220711
 36.540000 -2.542703 1.069379 16.516887
 36.560000 -2.476230 1.072104 16.855475
 36.580000 -2.584826 1.267802 16.247888
 36.600000 -2.404573 1.291263 17.113210
 36.620000 -2.305253 1.418356 17.319758
 36.640000 -2.436432 1.406057 17.011314
 36.660000 -2.439824 1.590710 16.999305
 36.680000 -2.451828 1.553829 16.954936
 36.700000 -2.462544 1.786799 16.912816
 36.720000 -2.285298 1.816088 17.344429
 36.740000 -2.187287 1.999837 17.408301
 36.760000 -2.195259 2.161706 17.405942
 36.780000 -1.999497 2.331667 17.397031
 36.800000 -1.747973 2.289933 17.285996
 36.820000 -1.739860 2.568710 17.277976
 36.840000 -1.657665 2.838924 17.161994
 36.860000 -1.748636 2.831961 17.286630
 36.880000 -1.519524 2.909199 16.758730
 36.900000 -1.493263 2.940819 16.642840
 36.920000 -1.464427 -3.116418 16.498752
 36.940000 -1.495556 -3.086276 16.653535
 36.960000 -1.363038 -3.134194 15.841032
 36.980000 -1.288952 -3.117744 15.203411
 37.000000 -1.314411 -3.069747 15.437704
 37.020000 -1.397758 3.062247 16.690208
 37.040000 -1.356787 2.986918 16.393918
 37.060000 -1.356352 2.889244 16.390530
 37.080000 -1.203439 2.772021 14.894492
 37.100000 -1.346789 2.661317 16.314927
 37.120000 -1.408029 2.516801 16.757614
 37.140000 -1.457438 2.423367 17.044314
 37.160000 -1.374178 2.359655 16.525052
 37.180000 -1.371007 2.070009 16.501732
 37.200000 -1.358201 1.870279 16.404872
 37.220000 -1.399142 1.804381 16.699449
 37.240000 -1.330224 1.589698 16.178240
 37.260000 -1.119085 1.495719 13.823809
 37.280000 -1.210933 1.241895 14.981661
 37.300000 -1.249057 1.107605 15.403739
 37.320000 -1.275176 1.026235 15.671786
 37.340000 -1.249519 0.873484 15.408623
 37.360000 -1.279302 0.824430 15.712518
 37.380000 -1.347173 0.666467 16.318004
 37.400000 -1.413758 0.603667 16.794022
 37.420000 -1.293848 0.454273 15.852572
 37.440000 -1.365491 0.290540 16.460539
 37.460000 -1.489727 0.269417 17.199538
 37.480000 -1.373400 0.101637 16.519353
 37.500000 -1.224364 -0.014974 15.134451
 37.520000 -1.030565 -0.143332 12.552783
 37.540000 -1.052289 -0.183635 12.876432
 37.560000 -0.967739 -0.307767 11.583449
 37.580000 -1.033237 -0.278258 12.592957
