#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -204.420289572  -51.502341610
   -2.951193099 -212.469304297  -32.905211494
   -2.760793544 -216.920962969  -14.487209933
   -2.570393989 -218.212454441   -0.249282207
   -2.379994435 -217.443428572    6.832895330
   -2.189594880 -216.105201004    5.892914911
   -1.999195325 -215.558692303   -0.764217416
   -1.808795770 -216.418039107   -7.836501686
   -1.618396215 -218.172551062   -9.363206978
   -1.427996661 -219.391154408   -2.112247729
   -1.237597106 -218.481963390   12.308810162
   -1.047197551 -214.560178677   28.539693208
   -0.856797996 -207.870677397   40.395217796
   -0.666398442 -199.668909790   44.050868391
   -0.475998887 -191.644061986   38.577715970
   -0.285599332 -185.430086135   25.393029364
   -0.095199777 -182.266133524    6.988051697
    0.095199777 -182.853837520  -13.366529045
    0.285599332 -187.198693305  -31.682107603
    0.475998887 -194.465528191  -43.202195386
    0.666398442 -202.891115568  -43.264622635
    0.856797996 -209.975967419  -29.008740056
    1.047197551 -213.050753520   -1.687115225
    1.237597106 -210.164521073   32.152578079
    1.427996661 -201.035161241   61.961872312
    1.618396215 -187.488567244   76.970611762
    1.808795770 -173.062529839   70.743981087
    1.999195325 -161.818524849   44.433280979
    2.189594880 -156.863130131    6.523512785
    2.379994435 -159.275443401  -30.957986868
    2.570393989 -167.934742405  -57.733450574
    2.760793544 -180.236107005  -68.891200658
    2.951193099 -193.203397866  -65.303691640
