#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
   -3.141592654  194.126734481   48.861563596
   -3.033261872  198.900547026   39.094540864
   -2.924931091  202.556975648   28.747138877
   -2.816600310  205.114214571   18.629865433
   -2.708269529  206.616968077    9.420487392
   -2.599938748  207.211351070    1.851658416
   -2.491607967  207.109392558   -3.552836667
   -2.383277185  206.549834964   -6.538509528
   -2.274946404  205.804999235   -7.008939695
   -2.166615623  205.138555136   -5.183707635
   -2.058284842  204.770271105   -1.685050150
   -1.949954061  204.826466255    2.548829494
   -1.841623280  205.323907697    6.436915711
   -1.733292499  206.168456406    8.837690205
   -1.624961717  207.147136363    8.960951883
   -1.516630936  207.990486348    6.220569892
   -1.408300155  208.385344761    0.833982388
   -1.299969374  208.075917980   -6.786192248
   -1.191638593  206.866969548  -15.645764993
   -1.083307812  204.686311254  -24.468304728
   -0.974977030  201.600146314  -32.241667918
   -0.866646249  197.778854196  -38.110821368
   -0.758315468  193.454715089  -41.376073310
   -0.649984687  188.912566379  -41.832498436
   -0.541653906  184.501678810  -39.467757907
   -0.433323125  180.477531161  -34.463592775
   -0.324992343  177.113096090  -27.244304127
   -0.216661562  174.631765937  -18.183181136
   -0.108330781  173.204024563   -7.883815224
    0.000000000  172.929959327    3.069424441
    0.108330781  173.849727352   14.063433542
    0.216661562  175.931565342   24.320575529
    0.324992343  179.044927502   33.053779819
    0.433323125  182.974712230   39.380091215
    0.541653906  187.413473651   42.513664541
    0.649984687  191.989504166   41.604583650
    0.758315468  196.246219995   36.300172723
    0.866646249  199.673678109   26.417755312
    0.974977030  201.821921516   12.533407534
    1.083307812  202.289535688   -4.356965314
    1.191638593  200.818301594  -22.849600810
    1.299969374  197.354437934  -40.922716810
    1.408300155  192.052829326  -56.513155029
    1.516630936  185.268746270  -67.909522781
    1.624961717  177.572737120  -73.435942789
    1.733292499  169.637336201  -72.186791753
    1.841623280  162.191668839  -64.241474062
    1.949954061  155.944630246  -50.307948253
    2.058284842  151.472566503  -31.849519661
    2.166615623  149.159408873  -10.876509257
    2.274946404  149.149974603   10.423978753
    2.383277185  151.358749347   29.896058135
    2.491607967  155.504113131   45.975268402
    2.599938748  161.142153552   57.426975807
    2.708269529  167.755661399   63.886450820
    2.816600310  174.807344429   65.538805287
    2.924931091  181.816399040   63.059328835
    3.033261872  188.356791572   57.169064302
